2025-06-21T14:20:00.000Z | AUTO_BID | INFO | source=server-restart-test | 🚀 Server neugestartet - Auto-Bid Logging Test
2025-06-21T14:21:00.000Z | AUTO_BID | SUCCESS | source=vue-frontend | ✅ Auto-Bidding gestartet für Projekt 12345
2025-06-21T14:22:00.000Z | AUTO_BID | WARNING | source=vue-frontend | ⚠️ Bid Text generiert aber Submission fehlgeschlagen
2025-06-21T14:23:00.000Z | AUTO_BID | ERROR | source=vue-frontend | ❌ Auto-Bidding Fehler: Rate Limit erreicht
2025-06-21T14:25:00.000Z | AUTO_BID | INFO | source=vue-frontend | 🎯 Auto-Bidding Konsole ist GESCHLOSSEN, aber Logs werden trotzdem geschrieben!
2025-06-21T13:20:35.000Z | AUTO_BID | INFO | source=batch-test | 📝 Batch-Test Log #4 - Konsole geschlossen
2025-06-21T13:20:35.000Z | AUTO_BID | INFO | source=batch-test | 📝 Batch-Test Log #3 - Konsole geschlossen
2025-06-21T13:20:35.000Z | AUTO_BID | INFO | source=batch-test | 📝 Batch-Test Log #5 - Konsole geschlossen
2025-06-21T13:20:35.000Z | AUTO_BID | INFO | source=batch-test | 📝 Batch-Test Log #2 - Konsole geschlossen
2025-06-21T13:20:35.000Z | AUTO_BID | INFO | source=batch-test | 📝 Batch-Test Log #1 - Konsole geschlossen
2025-06-21T14:35:00.000Z | AUTO_BID | SUCCESS | source=system | 🚀 NEUE Auto-Bid Konsole mit Backend-Integration gestartet!
2025-06-21T14:36:00.000Z | AUTO_BID | INFO | source=frontend-update | ✅ Logs werden jetzt mit grünlicher Hervorhebung für neue Nachrichten angezeigt
2025-06-21T14:37:00.000Z | AUTO_BID | INFO | source=polling-system | 📊 Polling alle 10 Sekunden - Logs werden automatisch aktualisiert
2025-06-21T14:45:00.000Z | AUTO_BID | SUCCESS | source=system-upgrade | 🚀 KOMPLETTE Log-Historie wird jetzt angezeigt - alle Einträge aus auto_bidding.log!
2025-06-21T14:50:00.000Z | AUTO_BID | INFO | source=highlight-test | ✨ NEUE Nachrichten werden grünlich hervorgehoben für 30 Sekunden!
2025-06-21T21:55:00.000Z | AUTO_BID | SUCCESS | source=live-test | 🆕 BRANDNEUER Log-Eintrag (sollte grün sein!)
2025-06-21T13:34:07.995Z | AUTO_BID | INFO | source=vue-frontend | 🚀 Starting automatic bid for project 39533101: "Modern Barbershop Website Developmen"
2025-06-21T13:34:07.999Z | AUTO_BID | INFO | source=vue-frontend | 📝 No bid teaser object found for project 39533101 - proceeding with generation
2025-06-21T13:34:16.532Z | AUTO_BID | INFO | source=vue-frontend | 🚀 Starting automatic bid for project 39533101: "Modern Barbershop Website Developmen"
2025-06-21T13:34:16.534Z | AUTO_BID | INFO | source=vue-frontend | 📝 No bid teaser object found for project 39533101 - proceeding with generation
2025-06-21T13:34:21.543Z | AUTO_BID | INFO | source=vue-frontend | 🚀 Starting automatic bid for project 39533101: "Modern Barbershop Website Developmen"
2025-06-21T13:34:21.544Z | AUTO_BID | INFO | source=vue-frontend | 📝 No bid teaser object found for project 39533101 - proceeding with generation
2025-06-21T13:34:26.554Z | AUTO_BID | INFO | source=vue-frontend | 🚀 Starting automatic bid for project 39533101: "Modern Barbershop Website Developmen"
2025-06-21T13:34:26.555Z | AUTO_BID | INFO | source=vue-frontend | 📝 No bid teaser object found for project 39533101 - proceeding with generation
2025-06-21T13:34:31.562Z | AUTO_BID | INFO | source=vue-frontend | 🚀 Starting automatic bid for project 39533101: "Modern Barbershop Website Developmen"
2025-06-21T13:34:31.564Z | AUTO_BID | INFO | source=vue-frontend | 📝 No bid teaser object found for project 39533101 - proceeding with generation
2025-06-21T13:35:00.491Z | AUTO_BID | SUCCESS | source=vue-frontend | ✅ Bid text generated for project 39533101
2025-06-21T13:35:00.492Z | AUTO_BID | INFO | source=vue-frontend | 📤 Automatically submitting bid for project 39533101...
2025-06-21T13:35:02.045Z | AUTO_BID | SUCCESS | source=vue-frontend | ✅ Bid text generated for project 39533101
2025-06-21T13:35:02.047Z | AUTO_BID | INFO | source=vue-frontend | 📤 Automatically submitting bid for project 39533101...
2025-06-21T13:35:02.112Z | AUTO_BID | SUCCESS | source=vue-frontend | ✅ Bid text generated for project 39533101
2025-06-21T13:35:02.113Z | AUTO_BID | INFO | source=vue-frontend | 📤 Automatically submitting bid for project 39533101...
2025-06-21T13:35:02.178Z | AUTO_BID | SUCCESS | source=vue-frontend | ✅ Bid text generated for project 39533101
2025-06-21T13:35:02.180Z | AUTO_BID | INFO | source=vue-frontend | 📤 Automatically submitting bid for project 39533101...
2025-06-21T13:35:17.001Z | AUTO_BID | SUCCESS | source=vue-frontend | ✅ Automatic bidding completed for project 39533101 - bid submitted successfully!
2025-06-21T13:35:21.106Z | AUTO_BID | SUCCESS | source=vue-frontend | ✅ Automatic bidding completed for project 39533101 - bid submitted successfully!
2025-06-21T13:35:46.726Z | AUTO_BID | SUCCESS | source=vue-frontend | ✅ Automatic bidding completed for project 39533101 - bid submitted successfully!
2025-06-21T13:35:49.781Z | AUTO_BID | SUCCESS | source=vue-frontend | ✅ Bid text generated for project 39533101
2025-06-21T13:35:49.782Z | AUTO_BID | INFO | source=vue-frontend | 📤 Automatically submitting bid for project 39533101...
2025-06-21T13:36:01.280Z | AUTO_BID | SUCCESS | source=vue-frontend | ✅ Automatic bidding completed for project 39533101 - bid submitted successfully!
2025-06-21T13:36:15.472Z | AUTO_BID | SUCCESS | source=vue-frontend | ✅ Automatic bidding completed for project 39533101 - bid submitted successfully!
